benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	count
js	116	202	1349271453915	14024704	2763280	6131200	0.8.11	3.11.10.22	50000000
js	117	203	1349271454119	14028800	2765808	6131200	0.8.11	3.11.10.22	50000000
js	118	203	1349271454322	14028800	2768240	6131200	0.8.11	3.11.10.22	50000000
js	119	203	1349271454525	14032896	2770640	6131200	0.8.11	3.11.10.22	50000000
js	120	204	1349271454729	14036992	2773136	6131200	0.8.11	3.11.10.22	50000000
js	121	203	1349271454933	14036992	2775600	6131200	0.8.11	3.11.10.22	50000000
js	122	203	1349271455136	14041088	2778032	6131200	0.8.11	3.11.10.22	50000000
js	123	203	1349271455339	14041088	2780528	6131200	0.8.11	3.11.10.22	50000000
js	124	205	1349271455544	14045184	2782928	6131200	0.8.11	3.11.10.22	50000000
js	125	204	1349271455748	14049280	2785392	6131200	0.8.11	3.11.10.22	50000000
js	126	204	1349271455952	14049280	2788088	6131200	0.8.11	3.11.10.22	50000000
js	127	202	1349271456154	14053376	2790488	6131200	0.8.11	3.11.10.22	50000000
js	128	203	1349271456357	14053376	2792952	6131200	0.8.11	3.11.10.22	50000000
js	129	203	1349271456560	14057472	2795448	6131200	0.8.11	3.11.10.22	50000000
js	130	206	1349271456766	14061568	2797880	6131200	0.8.11	3.11.10.22	50000000
js	131	205	1349271456972	14077952	2804536	6131200	0.8.11	3.11.10.22	50000000
js	132	205	1349271457177	14082048	2807064	6131200	0.8.11	3.11.10.22	50000000
js	133	204	1349271457383	14204928	2900952	6131200	0.8.11	3.11.10.22	50000000
js	134	204	1349271457588	14209024	2903336	6131200	0.8.11	3.11.10.22	50000000
js	135	205	1349271457794	14217216	2907032	6131200	0.8.11	3.11.10.22	50000000
js	136	204	1349271457998	14217216	2909416	6131200	0.8.11	3.11.10.22	50000000
js	137	206	1349271458204	14221312	2911736	6131200	0.8.11	3.11.10.22	50000000
js	138	208	1349271458412	14221312	2914184	6131200	0.8.11	3.11.10.22	50000000
js	139	205	1349271458618	14225408	2924104	6131200	0.8.11	3.11.10.22	50000000
js	140	204	1349271458822	14229504	2926456	6131200	0.8.11	3.11.10.22	50000000
