benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	rows	bytes
mariadb-0.1.7	73	367	1349277225910	23097344	4393464	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	74	384	1349277226294	23101440	6319080	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	75	398	1349277226692	23105536	4114888	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	76	411	1349277227103	23113728	6033504	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	77	413	1349277227517	23113728	3833064	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	78	379	1349277227896	23121920	5758936	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	79	370	1349277228266	23121920	3539976	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	80	373	1349277228639	23130112	5461256	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	81	368	1349277229007	23130112	7376920	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	82	372	1349277229379	23134208	5177528	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	83	363	1349277229742	23138304	7112008	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	84	364	1349277230106	23146496	4900248	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	85	370	1349277230476	23146496	6817696	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	86	368	1349277230845	23150592	4598488	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	87	370	1349277231215	23150592	6509888	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	88	371	1349277231586	23158784	4307560	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	89	365	1349277231952	23158784	6225064	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	90	373	1349277232325	23162880	4026408	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	91	365	1349277232690	23166976	5957960	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	92	365	1349277233056	23175168	3760696	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	93	366	1349277233422	23175168	5685272	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	94	368	1349277233790	23179264	3479520	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	95	372	1349277234162	23183360	5404296	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	96	373	1349277234535	23187456	7321408	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	97	363	1349277234898	23187456	5119456	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	98	370	1349277235268	23191552	7041048	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	99	369	1349277235637	23195648	4844072	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	100	371	1349277236008	23203840	6759136	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	101	371	1349277236379	23203840	4539976	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	102	369	1349277236748	23212032	6456880	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	103	366	1349277237114	23216128	4248792	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	104	380	1349277237494	23228416	6176448	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	105	401	1349277237895	23228416	3967384	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	106	366	1349277238261	23232512	5890152	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	107	374	1349277238635	23236608	3689448	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	108	365	1349277239000	23277568	5627192	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	109	369	1349277239369	23277568	3422808	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	110	368	1349277239737	23281664	5349688	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	111	365	1349277240102	23285760	7276544	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	112	362	1349277240464	23293952	5079872	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	113	376	1349277240840	23293952	6986912	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	114	379	1349277241219	23298048	4791104	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	115	374	1349277241593	23298048	6719480	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	116	378	1349277241971	23306240	4504320	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	117	368	1349277242339	23306240	6431128	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	118	386	1349277242725	23310336	4226632	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	119	370	1349277243095	23314432	6144600	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	120	365	1349277243460	23322624	3945088	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	121	366	1349277243826	23322624	5871648	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	122	371	1349277244197	23326720	3671576	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	123	365	1349277244562	23326720	5585432	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	124	366	1349277244928	23334912	7511248	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	125	383	1349277245311	23334912	5294008	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	126	367	1349277245678	23343104	7210664	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	127	377	1349277246056	23445504	5049208	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	128	366	1349277246422	23445504	6970928	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	129	367	1349277246789	23461888	4775272	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	130	365	1349277247154	23465984	6690624	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	131	369	1349277247524	23707648	4546688	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	132	368	1349277247892	23715840	6469392	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	133	369	1349277248263	23867392	4320112	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	134	369	1349277248634	23904256	6281632	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	135	370	1349277249004	23908352	4084464	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	136	376	1349277249380	23908352	6009088	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	137	370	1349277249750	23916544	3802488	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	138	366	1349277250117	23945216	5733224	14474496	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	139	368	1349277250485	23949312	7650400	14474496	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	140	364	1349277250849	23953408	5448448	14474496	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	141	370	1349277251219	23953408	7369168	14474496	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	142	370	1349277251589	23961600	5172208	14474496	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	143	367	1349277251956	23961600	7087224	14474496	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	144	375	1349277252331	23965696	4867888	14474496	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	145	375	1349277252706	23965696	6784824	14474496	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	146	368	1349277253075	23973888	4577512	14474496	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	147	372	1349277253447	23977984	6505152	14474496	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	148	373	1349277253820	23982080	4296088	14474496	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	149	377	1349277254197	23982080	6218888	14474496	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	150	371	1349277254568	23990272	4018232	14474496	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	151	365	1349277254933	23994368	5936904	14474496	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	152	368	1349277255301	24018944	3732696	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	153	366	1349277255667	24018944	5659560	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	154	370	1349277256037	24027136	7586464	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	155	374	1349277256411	24031232	5376856	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	156	379	1349277256791	24035328	7288840	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	157	367	1349277257158	24035328	5078360	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	158	371	1349277257529	24043520	6999128	15506432	0.8.11	3.11.10.22	100000	0
