benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	rows	bytes
mysql-libmysqlclient-1.5.1	24	838	1349367964429	424771584	4130344	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	25	832	1349367965261	609693696	4856656	12422656	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	26	870	1349367966131	805969920	9674768	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	27	860	1349367966992	990892032	6195536	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	28	856	1349367967848	1176535040	2702272	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	29	836	1349367968761	251924480	7414192	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	30	842	1349367969603	439676928	3931408	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	31	839	1349367970443	624599040	8700864	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	32	849	1349367971332	254754816	7412904	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	33	844	1349367972176	439676928	3929984	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	34	838	1349367973014	624599040	8700280	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	35	840	1349367973893	254754816	7413304	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	36	837	1349367974730	439676928	3930496	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	37	867	1349367975597	624599040	8700072	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	38	835	1349367976473	254754816	7412728	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	39	859	1349367977332	439803904	3929808	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	40	844	1349367978176	624726016	8699264	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	41	865	1349367979081	254881792	7413656	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	42	855	1349367979937	439803904	3930968	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	43	847	1349367980785	624726016	8700424	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	44	838	1349367981665	254881792	7412448	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	45	856	1349367982521	439803904	3930656	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	46	894	1349367983415	624726016	8701160	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	47	862	1349367984320	254881792	7412248	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	48	846	1349367985166	439803904	3930176	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	49	848	1349367986014	624726016	8700664	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	50	871	1349367986885	810369024	5210312	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	51	888	1349367987773	995291136	9939928	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	52	872	1349367988645	1181745152	6436008	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	53	838	1349367989561	257134592	7414376	20811264	0.8.11	3.11.10.22	100000	
mysql-libmysqlclient-1.5.1	54	865	1349367990426	442056704	3931848	20811264	0.8.11	3.11.10.22	100000	
