benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	bytes	rows
new-parser	128	240	1349613823758	278560768	9498552	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	129	239	1349613823997	278560768	16321536	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	130	241	1349613824238	278560768	6652480	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	131	240	1349613824482	278568960	9505536	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	132	240	1349613824722	278568960	16329704	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	133	238	1349613824961	278568960	6707088	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	134	240	1349613825204	278568960	9541096	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	135	240	1349613825444	278568960	16363992	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	136	242	1349613825686	278573056	6704776	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	137	241	1349613825929	278573056	9549056	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	138	240	1349613826169	278573056	16371856	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	139	241	1349613826410	278573056	6708616	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	140	240	1349613826653	278573056	9554336	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	141	239	1349613826893	278573056	16377616	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	142	242	1349613827135	278573056	6708552	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	143	240	1349613827377	278573056	9546968	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	144	240	1349613827617	278573056	16371136	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	145	240	1349613827857	278573056	6703128	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	146	239	1349613828099	278573056	9547960	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	147	240	1349613828339	278573056	16371936	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	148	241	1349613828580	278573056	6704136	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	149	239	1349613828820	278573056	13517264	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	150	240	1349613829060	278573056	3836200	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	151	240	1349613829301	278573056	10614400	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	152	240	1349613829545	278573056	9561384	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	153	239	1349613829785	278573056	16384256	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	154	241	1349613830026	278573056	6715240	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	155	240	1349613830269	278573056	9553952	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	156	239	1349613830508	278573056	16376952	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	157	242	1349613830750	278573056	6708056	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	158	239	1349613830992	278573056	9554256	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	159	238	1349613831230	278573056	16377056	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	160	241	1349613831471	278573056	6708112	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	161	239	1349613831713	278573056	9553856	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	162	239	1349613831952	278573056	16376960	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	163	240	1349613832192	278573056	6707856	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	164	239	1349613832434	278573056	9554968	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	165	241	1349613832675	278573056	16377968	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	166	240	1349613832915	278573056	6708920	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	167	240	1349613833157	278573056	9547424	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	168	240	1349613833397	278573056	16371256	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	169	242	1349613833639	278609920	6703528	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	170	244	1349613833886	278609920	9548424	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	171	242	1349613834128	278609920	16372296	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	172	241	1349613834369	278609920	6704328	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	173	240	1349613834609	278609920	13517440	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	174	240	1349613834849	278609920	3836280	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	175	241	1349613835090	278609920	10614472	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	176	240	1349613835334	278482944	9548960	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	177	239	1349613835573	278487040	16371744	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	178	241	1349613835814	278491136	6702672	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	179	241	1349613836057	278495232	9542720	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	180	239	1349613836297	278503424	16365664	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	181	242	1349613836539	278507520	6696712	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	182	240	1349613836782	278511616	9542696	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	183	239	1349613837021	278515712	16365592	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	184	240	1349613837261	278519808	6696576	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	185	240	1349613837504	278523904	9543048	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	186	239	1349613837744	278532096	16365832	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	187	240	1349613837984	278532096	6696928	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	188	240	1349613838226	278540288	9543504	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	189	240	1349613838466	278544384	16366288	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	190	242	1349613838708	278548480	6697232	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	191	239	1349613838949	278552576	9536616	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	192	240	1349613839189	278556672	16360584	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	193	242	1349613839431	278560768	6692672	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	194	240	1349613839673	278560768	9537176	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	195	239	1349613839912	278568960	16361024	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	196	241	1349613840153	278573056	6693056	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	197	240	1349613840393	278577152	13506208	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	198	241	1349613840634	278577152	3825208	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	199	240	1349613840874	278581248	10603368	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	200	243	1349613841121	278585344	9550592	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	201	242	1349613841363	278589440	16373328	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	202	240	1349613841603	278593536	6704472	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	203	239	1349613841845	278601728	9542744	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	204	240	1349613842085	278605824	16368168	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	205	241	1349613842326	278609920	6699144	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	206	240	1349613842569	278609920	9544464	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	207	239	1349613842808	278609920	16367336	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	208	240	1349613843048	278609920	6698272	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	209	240	1349613843291	278609920	9544864	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	210	239	1349613843530	278609920	16367600	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	211	240	1349613843771	278609920	6698704	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	212	240	1349613844013	278609920	9543992	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	213	240	1349613844253	278609920	16369088	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	214	240	1349613844493	278609920	6700024	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	215	239	1349613844735	278609920	9538328	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	216	239	1349613844975	278609920	16362440	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	217	240	1349613845215	278609920	6694448	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	218	240	1349613845457	278609920	9537944	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	219	240	1349613845698	278609920	16361880	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	220	241	1349613845939	278609920	6694024	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	221	239	1349613846178	278609920	13507232	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	222	241	1349613846419	278609920	3826232	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	223	241	1349613846660	278609920	10604480	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	224	240	1349613846903	278609920	9551504	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	225	240	1349613847143	278609920	16374248	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	226	241	1349613847384	278609920	6705288	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	227	241	1349613847627	278609920	9544232	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	228	239	1349613847866	278609920	16367152	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	229	242	1349613848108	288776192	6698224	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	230	242	1349613848352	291573760	9544064	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	231	241	1349613848593	291573760	16366960	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	232	242	1349613848835	291573760	6697896	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	233	240	1349613849078	291573760	9543816	37588480	0.8.11	3.11.10.22	180821863	100000
