benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	bytes	rows
mysql2	109	478	1349613612393	279052288	5545552	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	110	478	1349613612872	279052288	17427240	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	111	479	1349613613351	279052288	12807016	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	112	478	1349613613829	279052288	8197040	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	113	478	1349613614310	279052288	14760752	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	114	480	1349613614790	279052288	10160008	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	115	482	1349613615272	279052288	5548544	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	116	479	1349613615754	279052288	14753856	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	117	479	1349613616234	279052288	10153312	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	118	481	1349613616715	279052288	5541672	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	119	477	1349613617194	279052288	14754544	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	120	480	1349613617674	279052288	10153832	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	121	478	1349613618152	279052288	5542280	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	122	479	1349613618633	279052288	14754096	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	123	478	1349613619111	279052288	10153360	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	124	480	1349613619591	279052288	5541888	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	125	480	1349613620073	279052288	14757808	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	126	478	1349613620551	279052288	10157320	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	127	485	1349613621036	279064576	5545880	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	128	482	1349613621520	287461376	14758864	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	129	480	1349613622001	287461376	10158976	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	130	480	1349613622482	287461376	5548432	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	131	480	1349613622965	287490048	14774136	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	132	482	1349613623447	287490048	10174224	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	133	481	1349613623929	287498240	5596680	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	134	480	1349613624409	287502336	17482320	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	135	480	1349613624889	287502336	12861352	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	136	479	1349613625369	287502336	8247088	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	137	480	1349613625852	287502336	14800400	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	138	480	1349613626332	287502336	10199648	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	139	479	1349613626812	287506432	5596328	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	140	477	1349613627292	287506432	14800992	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	141	480	1349613627773	287506432	10200256	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	142	479	1349613628252	287506432	5588768	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	143	479	1349613628733	287506432	14801040	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	144	479	1349613629212	287506432	10200496	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	145	481	1349613629693	287506432	5588936	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	146	478	1349613630173	287506432	14802040	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	147	479	1349613630652	287506432	10201448	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	148	479	1349613631132	287506432	5589864	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	149	479	1349613631613	287506432	14800816	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	150	479	1349613632092	287506432	10199992	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	151	479	1349613632571	287506432	5588392	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	152	477	1349613633050	287506432	14802720	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	153	479	1349613633530	287506432	10203048	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	154	478	1349613634008	287506432	5592496	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	155	478	1349613634489	287506432	14802248	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	156	479	1349613634968	287506432	10202344	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	157	480	1349613635448	287510528	5591768	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	158	477	1349613635925	287510528	17473472	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	159	479	1349613636404	287514624	12853264	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	160	480	1349613636884	287514624	8243288	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	161	481	1349613637368	287514624	14805392	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	162	482	1349613637850	287514624	10204960	38620416	0.8.11	3.11.10.22	180821863	100000
